# Age (lower edge), Age (upper edge), Log Gross Income (lower edge), Log Gross Income (upper edge), Probability
55.0, 60.0, 8.910412356073792, 9.077589655159784, 0.0054904165398516796
55.0, 60.0, 9.077589655159784, 9.244766954245778, 0.006682696331178323
55.0, 60.0, 9.244766954245778, 9.411944253331772, 0.016493766707209933
55.0, 60.0, 9.411944253331772, 9.579121552417764, 0.022016457739366963
55.0, 60.0, 9.579121552417764, 9.746298851503758, 0.026995736389452546
55.0, 60.0, 9.746298851503758, 9.913476150589752, 0.025935181560907034
55.0, 60.0, 9.913476150589752, 10.080653449675744, 0.05681774256438855
55.0, 60.0, 10.080653449675744, 10.247830748761737, 0.06303283404193358
55.0, 60.0, 10.247830748761737, 10.415008047847731, 0.07316552348663592
55.0, 60.0, 10.415008047847731, 10.582185346933723, 0.06545829966715992
55.0, 60.0, 10.582185346933723, 10.749362646019717, 0.09913185368546555
55.0, 60.0, 10.749362646019717, 10.916539945105711, 0.09881924145185678
55.0, 60.0, 10.916539945105711, 11.083717244191705, 0.08886105943647986
55.0, 60.0, 11.083717244191705, 11.250894543277699, 0.08737680807522809
55.0, 60.0, 11.250894543277699, 11.418071842363691, 0.06353046167910673
55.0, 60.0, 11.418071842363691, 11.585249141449685, 0.05389389873240055
55.0, 60.0, 11.585249141449685, 11.752426440535679, 0.05902516772415667
55.0, 60.0, 11.752426440535679, 11.919603739621671, 0.03643565010397265
55.0, 60.0, 11.919603739621671, 12.086781038707665, 0.01676284590468592
55.0, 60.0, 12.086781038707665, 12.253958337793659, 0.011193244273247862
55.0, 60.0, 12.253958337793659, 12.42113563687965, 0.008770030356787006
60.0, 65.0, 8.241703159729818, 8.408880458815812, 0.00663584690918229
60.0, 65.0, 8.408880458815812, 8.576057757901804, 0.0032902098441244853
60.0, 65.0, 8.576057757901804, 8.743235056987798, 0.0029359757253777075
60.0, 65.0, 8.743235056987798, 8.910412356073792, 0.00587403518086569
60.0, 65.0, 8.910412356073792, 9.077589655159784, 0.008838766381765194
60.0, 65.0, 9.077589655159784, 9.244766954245778, 0.019982971757538832
60.0, 65.0, 9.244766954245778, 9.411944253331772, 0.02445007236794673
60.0, 65.0, 9.411944253331772, 9.579121552417764, 0.030119485251983397
60.0, 65.0, 9.579121552417764, 9.746298851503758, 0.05077550183514111
60.0, 65.0, 9.746298851503758, 9.913476150589752, 0.05550140172524518
60.0, 65.0, 9.913476150589752, 10.080653449675744, 0.063231623688344
60.0, 65.0, 10.080653449675744, 10.247830748761737, 0.0769117286083225
60.0, 65.0, 10.247830748761737, 10.415008047847731, 0.0885576961946504
60.0, 65.0, 10.415008047847731, 10.582185346933723, 0.08692571877228289
60.0, 65.0, 10.582185346933723, 10.749362646019717, 0.08448692105121683
60.0, 65.0, 10.749362646019717, 10.916539945105711, 0.06578127585127667
60.0, 65.0, 10.916539945105711, 11.083717244191705, 0.084616945810098
60.0, 65.0, 11.083717244191705, 11.250894543277699, 0.060656966764087994
60.0, 65.0, 11.250894543277699, 11.418071842363691, 0.05905582854735256
60.0, 65.0, 11.418071842363691, 11.585249141449685, 0.030975481581284436
60.0, 65.0, 11.585249141449685, 11.752426440535679, 0.033793934928442626
60.0, 65.0, 11.752426440535679, 11.919603739621671, 0.021133607524432777
60.0, 65.0, 11.919603739621671, 12.086781038707665, 0.02064434769454017
60.0, 65.0, 12.086781038707665, 12.253958337793659, 0.0032435342896543215
60.0, 65.0, 12.253958337793659, 12.42113563687965, 0.0115801217148432
65.0, 70.0, 8.241703159729818, 8.408880458815812, 0.0008666681239721174
65.0, 70.0, 8.408880458815812, 8.576057757901804, 0.0022678244529853973
65.0, 70.0, 8.576057757901804, 8.743235056987798, 0.0006120682893334242
65.0, 70.0, 8.743235056987798, 8.910412356073792, 0.009871529952127516
65.0, 70.0, 8.910412356073792, 9.077589655159784, 0.004438352336167793
65.0, 70.0, 9.077589655159784, 9.244766954245778, 0.019811210365042155
65.0, 70.0, 9.244766954245778, 9.411944253331772, 0.03897134808897964
65.0, 70.0, 9.411944253331772, 9.579121552417764, 0.04398276436270961
65.0, 70.0, 9.579121552417764, 9.746298851503758, 0.0484978395446692
65.0, 70.0, 9.746298851503758, 9.913476150589752, 0.06065605319679238
65.0, 70.0, 9.913476150589752, 10.080653449675744, 0.08198886190016343
65.0, 70.0, 10.080653449675744, 10.247830748761737, 0.09030064640069128
65.0, 70.0, 10.247830748761737, 10.415008047847731, 0.10679691548442762
65.0, 70.0, 10.415008047847731, 10.582185346933723, 0.09801579290489411
65.0, 70.0, 10.582185346933723, 10.749362646019717, 0.07878579024316856
