stage,multiplier,target,target_gap,rental_income_positive_share_mean,rental_income_positive_share_stdev,active_btl_share_mean,latent_btl_share_mean,btl_stock_fraction_mean,seed_count,seeds
fine,1.55,0.0752616555661275,0.003647887487548976,0.07161376807857853,0.0016884714008533884,0.07072794746101714,0.11683221501661814,0.2418099666851749,8,"1,2,3,4,5,6,7,8"
fine,1.555,0.0752616555661275,0.003779824895830272,0.07148183067029723,0.0012770190367066116,0.07027861141007183,0.1159218970952084,0.24083314825097168,8,"1,2,3,4,5,6,7,8"
fine,1.56,0.0752616555661275,0.004057767021147671,0.07120388854497983,0.0022029158616858995,0.07066800035979985,0.11678176447556636,0.24142292476402,8,"1,2,3,4,5,6,7,8"
fine,1.565,0.0752616555661275,0.0023769159219674957,0.07288473964416001,0.001152861095319457,0.07209759931654675,0.11849053057818246,0.2435745072182121,8,"1,2,3,4,5,6,7,8"
fine,1.57,0.0752616555661275,0.003100554647017126,0.07216110091911038,0.0011568451944287653,0.07137339462083574,0.11756435089615376,0.24036241671293726,8,"1,2,3,4,5,6,7,8"
fine,1.575,0.0752616555661275,0.002627908812654331,0.07263374675347317,0.0009572297890984766,0.0720656498296622,0.11857506323576983,0.24311404081066074,8,"1,2,3,4,5,6,7,8"
fine,1.58,0.0752616555661275,0.0026647488344087172,0.07259690673171879,0.0012107425611181664,0.07143163032186123,0.11825063567561475,0.24509432953914492,8,"1,2,3,4,5,6,7,8"
fine,1.585,0.0752616555661275,0.0026728983003780488,0.07258875726574945,0.0009892578414309099,0.07212116310054782,0.11933173034514771,0.2428375902276513,8,"1,2,3,4,5,6,7,8"
fine,1.59,0.0752616555661275,0.0016924744997494773,0.07356918106637803,0.0023633609487223456,0.07277717626849516,0.12000314714617465,0.2440424972237646,8,"1,2,3,4,5,6,7,8"
fine,1.595,0.0752616555661275,0.0014203768207402129,0.07384127874538729,0.002201800089429816,0.07249728832728493,0.12030517346129915,0.24642063436979456,8,"1,2,3,4,5,6,7,8"
fine,1.6,0.0752616555661275,0.0007216784989101388,0.07453997706721736,0.001575706325537414,0.07334172272520965,0.12133579124701084,0.246398320377568,8,"1,2,3,4,5,6,7,8"
fine,1.605,0.0752616555661275,0.0011366597734147332,0.07412499579271277,0.0017630715162980932,0.07309649901077185,0.121039410650138,0.24592890061077177,8,"1,2,3,4,5,6,7,8"
fine,1.61,0.0752616555661275,0.0013922559926930062,0.0738693995734345,0.0017795304718663672,0.07332915745762261,0.12070619458291264,0.24480549000555246,8,"1,2,3,4,5,6,7,8"
fine,1.615,0.0752616555661275,0.0003069861051390871,0.07495466946098842,0.001743143684368315,0.07373866743980473,0.12186381937125534,0.24750862715158245,8,"1,2,3,4,5,6,7,8"
fine,1.62,0.0752616555661275,0.0004783845047054702,0.07478327106142203,0.0009493949753695253,0.0733873496880824,0.12179022261239272,0.24714111604664074,8,"1,2,3,4,5,6,7,8"
fine,1.625,0.0752616555661275,0.0007597893800330435,0.07450186618609446,0.001853151155332434,0.07344935449328742,0.12180740981602128,0.2460650333148251,8,"1,2,3,4,5,6,7,8"
fine,1.63,0.0752616555661275,1.777504727833168e-05,0.07527943061340583,0.0013650056333848934,0.07411868643430242,0.12268942444654014,0.2506589047751249,8,"1,2,3,4,5,6,7,8"
fine,1.635,0.0752616555661275,9.94522941971665e-05,0.07536110786032467,0.0016696443193936954,0.07442542315976224,0.12303370314984723,0.24900529566907276,8,"1,2,3,4,5,6,7,8"
fine,1.64,0.0752616555661275,0.0003892741367428343,0.07487238142938467,0.0016872135140845901,0.07442830466320721,0.12301267628767017,0.24862384092171017,8,"1,2,3,4,5,6,7,8"
fine,1.645,0.0752616555661275,0.0012966445154452416,0.07655830008157274,0.0015466678793054688,0.07556625274177589,0.12422936567346292,0.2503965713492504,8,"1,2,3,4,5,6,7,8"
fine,1.65,0.0752616555661275,0.000420183774788474,0.07568183934091598,0.0018532917427345208,0.07439631098146955,0.12316613380148127,0.24881085508051082,8,"1,2,3,4,5,6,7,8"
fine,1.655,0.0752616555661275,0.000982651519143743,0.07624430708527125,0.0017266243247925413,0.07549498566427022,0.12518811596260554,0.2511756871182676,8,"1,2,3,4,5,6,7,8"
fine,1.66,0.0752616555661275,0.0003272935299580837,0.07558894909608559,0.0018775607534286577,0.0751354690608835,0.12483844134640457,0.24862641588006662,8,"1,2,3,4,5,6,7,8"
fine,1.665,0.0752616555661275,0.0012889836965670476,0.07655063926269455,0.0013247648854398174,0.07542376004567464,0.12507300654944173,0.24978466823986675,8,"1,2,3,4,5,6,7,8"
fine,1.67,0.0752616555661275,0.0011020923821792178,0.07636374794830672,0.0015060905973298363,0.07562371776684858,0.12526021143201393,0.25000219322598555,8,"1,2,3,4,5,6,7,8"
fine,1.675,0.0752616555661275,0.0022109914724791485,0.07747264703860665,0.000880634599117141,0.0762110357621945,0.12641671351149283,0.2521188298167685,8,"1,2,3,4,5,6,7,8"
fine,1.68,0.0752616555661275,0.0023099030234524365,0.07757155858957994,0.0015384973700397664,0.07662314034926533,0.12724877604028823,0.25077424347584676,8,"1,2,3,4,5,6,7,8"
fine,1.685,0.0752616555661275,0.002528883600598414,0.07779053916672592,0.0015928316709566878,0.07629722309388014,0.12625914241462088,0.2513042268184342,8,"1,2,3,4,5,6,7,8"
fine,1.69,0.0752616555661275,0.001376404976245485,0.07663806054237299,0.00140407242406842,0.0757643686325705,0.12570945108634393,0.25023033037201553,8,"1,2,3,4,5,6,7,8"
fine,1.695,0.0752616555661275,0.002719220126096905,0.07798087569222441,0.0014613159154512139,0.07662094276910981,0.12677675049946058,0.25265446279844533,8,"1,2,3,4,5,6,7,8"
fine,1.7,0.0752616555661275,0.0015533935205674643,0.07681504908669497,0.001564180417040075,0.07649536927989721,0.1269745047366559,0.25199210161021657,8,"1,2,3,4,5,6,7,8"
fine,1.705,0.0752616555661275,0.0031270917908623463,0.07838874735698985,0.0012243716101978852,0.07757364573051873,0.12917845237433256,0.2538916157690172,8,"1,2,3,4,5,6,7,8"
fine,1.71,0.0752616555661275,0.004128935487730356,0.07939059105385786,0.0015194175029657957,0.07749392086590512,0.12892779592145803,0.2519507426429761,8,"1,2,3,4,5,6,7,8"
fine,1.715,0.0752616555661275,0.004159234308279761,0.07942088987440726,0.001833682164540312,0.07796789010115565,0.12949339645726266,0.2536985008328706,8,"1,2,3,4,5,6,7,8"
fine,1.72,0.0752616555661275,0.00350655999994115,0.07876821556606865,0.0015619023988837266,0.07778012194261694,0.1289103572732635,0.2524467865074958,8,"1,2,3,4,5,6,7,8"
fine,1.725,0.0752616555661275,0.0034899569108759604,0.07875161247700346,0.0013089192129002397,0.07751164605991288,0.12908868407793292,0.25349596751804554,8,"1,2,3,4,5,6,7,8"
fine,1.73,0.0752616555661275,0.004344690747171073,0.07960634631329858,0.001760844424745308,0.07859313278580018,0.13027006849240994,0.2560626943364797,8,"1,2,3,4,5,6,7,8"
fine,1.735,0.0752616555661275,0.0028380364645488043,0.07809969203067631,0.0011813376157255972,0.07764373715103018,0.1300672558970012,0.2527623750694059,8,"1,2,3,4,5,6,7,8"
fine,1.74,0.0752616555661275,0.004154217387268969,0.07941587295339647,0.0013305400872285732,0.07815049316086044,0.13003477446862402,0.255767316768462,8,"1,2,3,4,5,6,7,8"
fine,1.745,0.0752616555661275,0.004965053844112333,0.08022670941023984,0.0018414510608660275,0.07893352567197706,0.13095813885736457,0.2563227651304831,8,"1,2,3,4,5,6,7,8"
fine,1.75,0.0752616555661275,0.005546990950847125,0.08080864651697463,0.0013497532738751374,0.07960017087544576,0.1330331822809097,0.2572789908384231,8,"1,2,3,4,5,6,7,8"
fine,1.755,0.0752616555661275,0.005316537074333466,0.08057819264046097,0.0013328279003071062,0.07960559115578955,0.13270691357005587,0.25779838284286505,8,"1,2,3,4,5,6,7,8"
fine,1.76,0.0752616555661275,0.004660798284489079,0.07992245385061658,0.0009588206290907268,0.07929168147831882,0.13254603285263097,0.2574048514714048,8,"1,2,3,4,5,6,7,8"
fine,1.765,0.0752616555661275,0.004275859323918399,0.0795375148900459,0.0013228300394774871,0.07958613622337524,0.13241559378938422,0.25313062187673513,8,"1,2,3,4,5,6,7,8"
fine,1.77,0.0752616555661275,0.005063088664159027,0.08032474423028653,0.002110756082849943,0.07966503375950168,0.13269495354206395,0.25722846335369237,8,"1,2,3,4,5,6,7,8"
fine,1.775,0.0752616555661275,0.005858086129114551,0.08111974169524205,0.0016264036934985333,0.07960902480124452,0.13290367767511335,0.25686277068295393,8,"1,2,3,4,5,6,7,8"
fine,1.78,0.0752616555661275,0.005623336489914449,0.08088499205604195,0.0024219037318934235,0.07982384360468821,0.13319283491527012,0.255530941143809,8,"1,2,3,4,5,6,7,8"
