month_end,spread_fraction,credit_per_household,delta_spread_fraction,delta_credit_per_household
1998-01-31,0.005938015844086503,182.9020979020979,0.0026141324670138112,-43.986013986014
1998-02-28,0.005999133395590173,181.43356643356643,6.111755150366941e-05,-1.4685314685314665
1998-03-31,0.00496445231354973,229.51048951048952,-0.001034681082040443,48.076923076923094
1998-04-30,0.007397700435756062,240.6993006993007,0.0024332481222063326,11.188811188811172
1998-05-31,0.007021837923527583,244.82517482517483,-0.0003758625122284795,4.125874125874134
1998-06-30,0.002345756993933978,289.86013986013984,-0.004676080929593604,45.03496503496501
1998-07-31,0.002489054082569124,328.1468531468532,0.0001432970886351458,38.286713286713336
1998-08-31,0.008144694778985518,286.3286713286713,0.005655640696416393,-41.81818181818187
1998-09-30,0.01324957254207381,287.16783216783216,0.005104877763088293,0.8391608391608543
1998-10-31,0.01514910114794489,278.2167832167832,0.00189952860587108,-8.95104895104896
1998-11-30,0.012899523670705211,271.46853146853147,-0.002249577477239679,-6.748251748251732
1998-12-31,0.01458252695977902,266.5034965034965,0.001683003289073809,-4.965034965034988
1999-01-31,0.01205631390701748,208.1818181818182,-0.002526213052761541,-58.32167832167829
1999-02-28,0.01073865387586181,212.23776223776224,-0.00131766003115567,4.055944055944053
1999-03-31,0.008476758414166445,304.4755244755245,-0.002261895461695364,92.23776223776224
1999-04-30,0.008852616076135203,306.2587412587413,0.00037585766196875786,1.783216783216801
1999-05-31,0.007715927032254566,319.4755244755245,-0.0011366890438806367,13.216783216783199
1999-06-30,0.00771746422135112,373.46153846153845,1.5371890965537593e-06,53.98601398601397
1999-07-31,0.007310692704843751,409.3356643356643,-0.0004067715165073692,35.874125874125866
1999-08-31,0.00512019097918965,377.4125874125874,-0.002190501725654101,-31.923076923076906
1999-09-30,0.002851693884441371,376.15384615384613,-0.0022684970947482786,-1.2587412587412814
1999-10-31,0.0030181929015594563,362.4475524475524,0.00016649901711808524,-13.706293706293707
1999-11-30,0.005458837224255104,371.013986013986,0.002440644322695648,8.566433566433602
1999-12-31,0.003011419504209618,332.5524475524476,-0.0024474177200454863,-38.46153846153845
2000-01-31,0.002917284513968736,256.7832167832168,-9.413499024088197e-05,-75.76923076923077
2000-02-29,0.004346639226666822,273.2167832167832,0.0014293547126980857,16.433566433566398
2000-03-31,0.002129623654530333,355.4895104895105,-0.002217015572136489,82.27272727272731
2000-04-30,0.001198369433956001,318.42657342657344,-0.0009312542205743319,-37.06293706293707
2000-05-31,0.002169658130028669,352.2027972027972,0.0009712886960726679,33.77622377622379
2000-06-30,0.004452921148585496,399.5104895104895,0.002283263018556827,47.307692307692264
2000-07-31,0.004630371436495295,369.4055944055944,0.0001774502879097993,-30.104895104895093
2000-08-31,0.003879886410331634,384.9300699300699,-0.000750485026163661,15.52447552447552
2000-09-30,0.004134467971800184,343.3916083916084,0.00025458156146854986,-41.53846153846155
2000-10-31,0.003180746639139356,345.7692307692308,-0.000953721332660828,2.3776223776224015
2000-11-30,0.0054034544993831,371.2587412587413,0.0022227078602437443,25.489510489510508
2000-12-31,0.007420114892931666,345.97902097902096,0.002016660393548566,-25.279720279720323
2001-01-31,0.006355523332874639,328.986013986014,-0.001064591560057027,-16.993006993006986
2001-02-28,0.005899975568217597,320.13986013986016,-0.00045554776465704227,-8.846153846153811
2001-03-31,0.007601593611523105,405.83916083916085,0.0017016180433055078,85.6993006993007
2001-04-30,0.007292084736467573,397.86713286713285,-0.0003095088750555324,-7.972027972028002
2001-05-31,0.00588062239143154,471.43356643356645,-0.0014114623450360323,73.5664335664336
2001-06-30,0.004234510936852001,510.6993006993007,-0.0016461114545795394,39.26573426573424
2001-07-31,0.006386452017479512,531.8531468531469,0.002151941080627511,21.15384615384619
2001-08-31,0.006163475833633081,570.8391608391609,-0.00022297618384643086,38.98601398601397
2001-09-30,0.007550774906306535,472.13286713286715,0.0013872990726734539,-98.7062937062937
2001-10-31,0.006305843544154985,517.4825174825174,-0.0012449313621515495,45.34965034965029
2001-11-30,0.006787988975310029,527.0979020979021,0.00048214543115504375,9.615384615384642
2001-12-31,0.004557753005437988,455.6993006993007,-0.002230235969872041,-71.39860139860139
2002-01-31,0.004228454084272366,466.993006993007,-0.00032929892116562165,11.293706293706293
2002-02-28,0.004930702509967029,461.3286713286713,0.0007022484256946626,-5.664335664335681
2002-03-31,0.0030916357796460397,544.0909090909091,-0.0018390667303209893,82.76223776223782
2002-04-30,0.0049465153885361966,566.4685314685315,0.0018548796088901569,22.3776223776224
2002-05-31,0.005702381314936975,707.0979020979021,0.0007558659264007787,140.62937062937056
2002-06-30,0.006492215886387216,595.1048951048951,0.000789834571450241,-111.99300699300693
2002-07-31,0.008139783067125074,746.7132867132867,0.0016475671807378578,151.60839160839157
2002-08-31,0.005111819128804553,732.5874125874126,-0.003027963938320521,-14.125874125874134
2002-09-30,0.006303997324972106,672.0979020979021,0.001192178196167553,-60.48951048951051
2002-10-31,0.005417611835992626,737.7622377622378,-0.0008863854889794801,65.66433566433568
2002-11-30,0.004938144985024442,725.034965034965,-0.0004794668509681844,-12.727272727272748
2002-12-31,0.006842819471363919,673.0419580419581,0.0019046744863394777,-51.99300699300693
2003-01-31,0.007494371059176066,681.6433566433567,0.0006515515878121464,8.601398601398614
2003-02-28,0.007268442116919771,619.0559440559441,-0.00022592894225629493,-62.58741258741259
2003-03-31,0.006120980335443456,686.7482517482517,-0.0011474617814763149,67.69230769230762
2003-04-30,0.004948152517984479,711.048951048951,-0.0011728278174589768,24.300699300699307
2003-05-31,0.0049137738105118735,776.1888111888112,-3.437870747260551e-05,65.13986013986016
2003-06-30,0.005062318783655488,796.8881118881119,0.00014854497314361476,20.699300699300693
2003-07-31,0.004065392087276609,895.3846153846154,-0.0009969266963788794,98.49650349650346
2003-08-31,0.003731226361515958,840.4195804195804,-0.0003341657257606508,-54.96503496503499
2003-09-30,0.004835223875350998,901.8881118881119,0.0011039975138350398,61.46853146853152
2003-10-31,0.006267970249329977,974.8601398601398,0.0014327463739789792,72.97202797202794
2003-11-30,0.005824324239477603,886.8531468531469,-0.0004436460098523739,-88.00699300699296
2003-12-31,0.006897619514148294,848.6013986013986,0.0010732952746706909,-38.25174825174827
2004-01-31,0.006419488305459815,759.4405594405595,-0.0004781312086884794,-89.16083916083915
2004-02-29,0.005594038041268856,726.8881118881119,-0.0008254502641909583,-32.552447552447575
2004-03-31,0.00541345608478089,851.2237762237762,-0.00018058195648796606,124.33566433566432
2004-04-30,0.005353325830187865,862.5524475524476,-6.0130254593024866e-05,11.328671328671362
2004-05-31,0.003579609704748101,839.6153846153846,-0.0017737161254397643,-22.937062937062933
2004-06-30,0.005030204982638536,978.8111888111888,0.0014505952778904345,139.19580419580416
2004-07-31,0.006054691573996109,999.5804195804196,0.0010244865913575738,20.76923076923083
2004-08-31,0.006252097412998188,918.3566433566433,0.0001974058390020782,-81.22377622377633
2004-09-30,0.006214338967867272,873.7062937062936,-3.775844513091535e-05,-44.65034965034965
2004-10-31,0.007641021037342179,797.5524475524476,0.001426682069474907,-76.15384615384608
2004-11-30,0.005792647292415563,753.1468531468531,-0.0018483737449266164,-44.40559440559446
2004-12-31,0.00691526678236742,730.4895104895105,0.001122619489951857,-22.65734265734261
2005-01-31,0.0061777894630320775,598.6363636363636,-0.0007374773193353423,-131.85314685314688
2005-02-28,0.005373133838921085,616.5034965034965,-0.0008046556241109925,17.86713286713291
2005-03-31,0.004754840182672755,717.7272727272727,-0.0006182936562483298,101.22377622377621
2005-04-30,0.0061047328179090424,750.979020979021,0.0013498926352362873,33.25174825174827
2005-05-31,0.005846348595033506,771.2587412587412,-0.0002583842228755361,20.27972027972021
2005-06-30,0.0058097797150093375,893.7762237762238,-3.656888002416883e-05,122.51748251748256
2005-07-31,0.0050138425446022514,879.5804195804196,-0.000795937170407086,-14.195804195804158
2005-08-31,0.0036853155350805274,924.8251748251748,-0.001328527009521724,45.2447552447552
2005-09-30,0.004053235648138207,947.2027972027972,0.0003679201130576794,22.3776223776224
2005-10-31,0.003427347446804543,926.9230769230769,-0.0006258882013336639,-20.279720279720323
2005-11-30,0.004595396773230274,963.0769230769231,0.001168049326425731,36.15384615384619
2005-12-31,0.005033480905420937,920.4195804195804,0.00043808413219066297,-42.657342657342724
2006-01-31,0.004388692393420941,793.3916083916084,-0.0006447885119999957,-127.02797202797194
2006-02-28,0.004922073871080812,778.7412587412588,0.0005333814776598712,-14.650349650349654
2006-03-31,0.003520807756892301,969.7902097902098,-0.0014012661141885115,191.04895104895104
2006-04-30,0.002924826911292131,846.2937062937064,-0.00059598084560017,-123.49650349650346
2006-05-31,0.003009109179687162,1001.3986013986014,8.428226839503122e-05,155.10489510489504
2006-06-30,0.0026238771636472257,1113.2517482517483,-0.0003852320160399364,111.85314685314688
2006-07-31,0.002806308025722775,1053.041958041958,0.00018243086207554932,-60.2097902097903
2006-08-31,0.002405181330511823,1145.06993006993,-0.0004011266952109521,92.02797202797206
2006-09-30,0.0025434844482148124,1014.6153846153846,0.0001383031177029895,-130.45454545454538
2006-10-31,0.0006049969785279163,1063.2867132867134,-0.0019384874696868962,48.67132867132875
2006-11-30,0.0026614900561622353,1158.6713286713286,0.002056493077634319,95.38461538461524
2006-12-31,0.0015221313570187788,983.1118881118881,-0.0011393586991434565,-175.55944055944053
2007-01-31,0.0003815903030535672,928.8111888111888,-0.0011405410539652115,-54.30069930069931
2007-02-28,0.001392813522899958,873.6363636363636,0.0010112232198463908,-55.17482517482517
2007-03-31,0.003079829136995098,1079.1608391608393,0.00168701561409514,205.52447552447563
2007-04-30,0.002060520293056269,954.2307692307693,-0.001019308843938829,-124.93006993006998
2007-05-31,0.001419677339859629,1099.7202797202797,-0.0006408429531966401,145.4895104895104
